word2,cosine sim,word1
sham,0.8738675117492676,impeach_r
circus,0.8385308980941772,impeach_r
charade,0.8183230757713318,impeach_r
democrats,0.8091883659362793,impeach_r
dem,0.7954604625701904,impeach_r
democrat,0.7931890487670898,impeach_r
ment,0.7924070954322815,impeach_r
schiffshow,0.7893918752670288,impeach_r
partisan,0.7838882803916931,impeach_r
witch,0.7796733379364014,impeach_r
mentinquiry,0.7900182008743286,impeach_d
defendourdemocracy,0.7827011346817017,impeach_d
inquiry,0.7509485483169556,impeach_d
houseintel,0.7420990467071533,impeach_d
menthearing,0.7371530532836914,impeach_d
exposethetruth,0.7323454022407532,impeach_d
mentheare,0.7308715581893921,impeach_d
uncover,0.7285832166671753,impeach_d
inghearing,0.7158187031745911,impeach_d
abuseofpower,0.7147486209869385,impeach_d
annoying,0.916702151298523,robocall_r
traced,0.9060016870498657,robocall_r
trace,0.9009393453598022,robocall_r
unwanted,0.895362138748169,robocall_r
robocall_d,0.8902515769004822,robocall_r
stopbad,0.8789626955986023,robocall_r
crack,0.8709096908569336,robocall_r
annoy,0.8614637851715088,robocall_r
pallonethune,0.8552980422973633,robocall_r
tracedact,0.8532892465591431,robocall_r
traced,0.9175891876220703,robocall_d
stopbad,0.8998929262161255,robocall_d
annoying,0.8957333564758301,robocall_d
robocall_r,0.8902515769004822,robocall_d
unwanted,0.8858903646469116,robocall_d
pallonethune,0.8700880408287048,robocall_d
spam,0.865149974822998,robocall_d
crack,0.8409550189971924,robocall_d
trace,0.8396012187004089,robocall_d
scammer,0.8290222883224487,robocall_d
forward,0.6769429445266724,look_r
look_d,0.6751262545585632,look_r
tte,0.6536240577697754,look_r
move,0.6424441337585449,look_r
loeffler,0.6416325569152832,look_r
segment,0.63808274269104,look_r
rolltide,0.6354726552963257,look_r
would,0.6319048404693604,look_r
cvpayne,0.6291104555130005,look_r
helm,0.6233389377593994,look_r
look_r,0.6751261949539185,look_d
forward,0.6492792963981628,look_d
dialogue,0.5871070027351379,look_d
georgians,0.5825989842414856,look_d
copake,0.5768779516220093,look_d
henrico,0.5708106160163879,look_d
kalispell,0.5605407953262329,look_d
utahns,0.5540856122970581,look_d
segment,0.5518451929092407,look_d
hop,0.5488139390945435,look_d
