word,relative_similarity
abortion,0.0928835131166236
administration,0.0688904143896871
border,0.0812625588965112
conservative,0.08840201076434695
corrupt,0.08680924944532692
climatechange,0.0772450953155752
democrat,0.04379057902424485
daca,0.0495940455536891
economy,0.06862559841712015
gun,0.07708813079253196
healthcare,0.08227533900797655
impeach,0.06862553008688202
immigration,0.08171920156079984
insurance,0.09120782755153241
liberal,0.029535706769439753
mcconnell,0.05575290949247132
oil,0.08552996803265742
president,0.07605555915369032
pelosi,0.060249159541174435
police,0.11105692554185187
republican,0.04789109438694009
russia,0.09095343218511044
scotus,0.06691874986989696
tax,0.0893346871863442
trump,0.06592910673277051
wall,0.08650993127465524
wealth,0.08631586209834559
welfare,0.08037641637362423
whitehouse,0.07917844528227748
