word,similarity
abortion,0.7599071860313416
administration,0.47350358963012695
border,0.5453751683235168
conservative,0.6874310374259949
corrupt,0.6634930968284607
climatechange,0.6943194270133972
democrat,0.34644952416419983
daca,0.49016058444976807
economy,0.5811879634857178
gun,0.5425549149513245
healthcare,0.6004487872123718
impeach,0.5546312928199768
immigration,0.611458420753479
insurance,0.7998598217964172
liberal,0.4131689667701721
mcconnell,0.49616479873657227
oil,0.6601821780204773
president,0.4736863374710083
pelosi,0.36928218603134155
police,0.7984535098075867
republican,0.43508419394493103
russia,0.7563182711601257
scotus,0.6208744049072266
tax,0.7105862498283386
trump,0.40094268321990967
usmca,0.6952375173568726
wall,0.7266815900802612
wealth,0.7762633562088013
welfare,0.6724013090133667
whitehouse,0.5051414966583252
